0.100000    1.000000    0.000000
0.200000    1.000000    0.000000
0.300000    1.000000    0.000000
0.400000    1.000000    0.000000
0.500000    0.999990    0.000004
0.600000    0.999873    0.000019
0.700000    0.999571    0.000030
0.800000    0.998575    0.000069
0.900000    0.996153    0.000125
1.000000    0.991773    0.000245
1.100000    0.983695    0.000357
1.200000    0.968704    0.000753
1.300000    0.944938    0.001426
1.400000    0.900221    0.003750
1.500000    0.805122    0.010452
1.600000    0.692487    0.011967
1.700000    0.480492    0.017646
1.800000    0.330841    0.015701
1.900000    0.201202    0.009748
2.000000    0.143867    0.006479
2.100000    0.122502    0.005226
2.200000    0.092290    0.004181
2.300000    0.090188    0.004241
2.400000    0.071669    0.002663
2.500000    0.072166    0.001794
2.600000    0.060688    0.001666
2.700000    0.058940    0.001947
2.799999    0.054980    0.001537
2.899999    0.057439    0.001554
2.999999    0.055716    0.001613
3.099999    0.050993    0.000964
3.199999    0.050773    0.001066
3.299999    0.051583    0.000903
3.399999    0.050987    0.001000
3.499999    0.048590    0.001099
3.599999    0.045844    0.001214
3.699999    0.047020    0.000925
3.799999    0.045869    0.001016
3.899998    0.043208    0.000731
3.999998    0.043754    0.000930
4.099998    0.042647    0.000726
4.199998    0.041709    0.000896
4.299998    0.041713    0.000729
4.399998    0.041236    0.000723
4.499998    0.042744    0.000569
4.599998    0.042565    0.000729
4.699998    0.040610    0.000856
4.799998    0.039394    0.000867
4.899998    0.039933    0.000785
4.999998    0.039936    0.000721
